data_ogloszenia;nr_bzp;wojewodztwo;zamawiajacy;miejscowosc;przedmiot;rodzaj_zamowienia;cpv_glowny;wspolfinansowanie_ue;wynik;liczba_ofert;cena_najnizsza_pln;cena_najwyzsza_pln;cena_wybrana_pln;wykonawca_lub_wykonawcy;data_umowy
2025-10-20;2025/BZP 00484053/01;pomorskie;Miasto Słupsk;Słupsk;Dostawa i montaż systemu monitoringu centralnej stacji uzdatniania wody przy ul. Bohaterów Westerplatte w Słupsku;Dostawy;32323500-8 - Urządzenia do nadzoru wideo;Nie;uniewaznione;;;;;;
2025-11-13;2025/BZP 00529368/01;lubelskie;Gmina Janowiec;Janowiec;Dostawa, montaż i integracja z systemem sterowania SCADA agregatów prądotwórczych stacjonarnych na ujęciach wody w Gminie Janowiec w celu zapewnienia zasilania awaryjnego w ramach POLiOC 2025-2026;Dostawy;31122000-7 - Jednostki prądotwórcze;Nie;umowa;1;253776,99;253776,99;253776,99;Słomka Sp. z o.o. (NIP 8252201630 , Stare Kobiałki );2025-10-01
2025-11-17;2025/BZP 00534732/01;podlaskie;Miasto Suwałki;Suwałki;Dostawa i montaż monitoringu 2 awaryjnych studni głębinowych zlokalizowanych przy ul. Kowalskiego i ul. Witosa.;Dostawy;32323500-8 - Urządzenia do nadzoru wideo;Nie;uniewaznione;2;173184,00;232962,00;;;
2025-11-20;2025/BZP 00543708/01;dolnośląskie;GMINA ZAGRODNO;Zagrodno;Dostawa szaf sterowniczych z podłączeniem na SUW Zagrodno wraz z wpięciem do systemu wizualizacji HYDRO SCADA w ramach zadania: MODERNIZACJA STACJI UZDATNIANIA WODY W ZAGRODNIE;Dostawy;31682210-5 - Aparatura i sprzęt sterujący;Nie;umowa;2;398353,95;479085;398353,95;HYDRO-PARTNER Sp. z o.o. (NIP 6972067331 , Leszno );2025-11-19
2025-11-20;2025/BZP 00546602/01;kujawsko-pomorskie;Przedsiębiorstwo Komunalne w Kruszwicy Sp. z o.o.;Kruszwica;Remont instalacji sterowania i monitoringu SUW Kruszwica, Piecki, Chełmce;Usługi;51900000-1 - Usługi instalowania systemów sterowania i kontroli;Nie;uniewaznione;;;;;;
2025-12-19;2025/BZP 00611968/01;mazowieckie;Wodociągi Miejskie w Radomiu Sp. z o.o.;Radom;Kompleksowa wymiana modułów telemetrycznych dla Wodociągów Miejskich w Radomiu Sp. z o.o.;Dostawy;32441200-8 - Sprzęt telemetryczny i sterujący;Nie;umowa;2;589502,10;596181;589502,10;Złote Runo Sp. z o.o. (NIP 7010220422 , Warszawa );2025-12-16
2025-12-29;2025/BZP 00625001/01;kujawsko-pomorskie;Przedsiębiorstwo Komunalne w Kruszwicy Sp. z o.o.;Kruszwica;Remont instalacji sterowania i monitoringu SUW Kruszwica, Piecki, Chełmce;Usługi;51900000-1 - Usługi instalowania systemów sterowania i kontroli;Nie;umowa;2;269370,00;279210,00;269370,00;SYNCHRONEO Sp. z o.o. (NIP 5542996903 , Niemcz );2025-12-18
2025-12-30;2025/BZP 00627138/01;małopolskie;Gmina Wieprz;Wieprz;„Wprowadzenie systemu zdalnego odczytu wodomierzy w miejscowości: Nidek, Frydrychowice, Gierałtowice, Gierałtowiczki oraz Przybradz”;Usługi;32230000-4 - Radiowa aparatura nadawcza z aparaturą odbiorczą;Tak;uniewaznione;1;1119696;1119696;;;
2026-01-30;2026/BZP 00082466/01;zachodniopomorskie;ZACHODNIOPOMORSKI ZARZĄD DRÓG WOJEWÓDZKICH;Koszalin;Bieżące utrzymanie, konserwacja i monitoring przepompowni wód opadowych zlokalizowanej przy ul. Słowackiego w Dziwnowie na rok 2026 – zam. w trybie art. 305 pkt 1 w zw. z art. 214 ust. 1 pkt 1 lit. a;Usługi;50511000-0 - Usługi w zakresie napraw i konserwacji pomp;Nie;umowa;1;21924,75;;21924,75;Zakład Wodociągów i Kanalizacji Spółka z o.o. (NIP 9860240079 , Dziwnów );2026-01-16
2026-02-02;2026/BZP 00089571/01;małopolskie;Gmina Wieprz;Wieprz;„Wprowadzenie systemu zdalnego odczytu wodomierzy w miejscowości: Nidek, Frydrychowice, Gierałtowice, Gierałtowiczki oraz Przybradz”;Usługi;32230000-4 - Radiowa aparatura nadawcza z aparaturą odbiorczą;Tak;umowa;1;1119987,60;1119987,60;1119987,60;Polska Fabryka Wodomierzy i Ciepłomierzy FILA Sp. z o.o. (NIP 5792294970 , Sztumskie Pole );2026-01-29
2026-02-17;2026/BZP 00115794/01;małopolskie;Gmina Wieprz;Wieprz;„Rozbudowa i modernizacja systemu monitoringu obiektów wodociągowych, dotyczy obiektu Stacji Uzdatniania Wody w Gierałtowicach oraz przepompowni we Frydrychowicach”;Usługi;31682210-5 - Aparatura i sprzęt sterujący;Tak;umowa;3;799500;988305,00;799500;Delta Rafał Stępiński (NIP 649 145 01 57 , Zawiercie );2026-02-09
2026-03-02;2026/BZP 00135088/01;małopolskie;Gmina Pleśna;Pleśna;„Wymiana wodomierzy wody zimnej na wodomierze z nakładką radiową do zdalnego odczytu w Gminie Pleśna, miejscowość Rzuchowa.”;Roboty budowlane;45332200-5 - Roboty instalacyjne hydrauliczne;Tak;umowa;3;31405,59;49975,52;31405,59;Plus Aqua S. C. Zbigniew Kafara, Ireneusz Gil, 31-216 Kraków, ul. Konecznego 6/13 (NIP 9452192385 , 31-216 Kraków, ul. Konecznego 6/13 );2026-03-02
2026-03-09;2026/BZP 00144816/01;mazowieckie;GMINA BROCHÓW;Brochów;System odczytu wodomierzy i monitoringu sieci wodociągowej realizowany w ramach projektu: Zrównoważona gospodarka wodna w Gminie Brochów;Dostawy;38421100-3 - Wodomierze;Tak;umowa;2;373366,50;472722,21;373366,50;WES Sp. z o.o. (NIP 9662135181 , Białystok );2026-03-09
2026-03-31;2026/BZP 00178827/01;świętokrzyskie;Gmina Czarnocin;Czarnocin;Modernizacja sieci wodociągowej na terenie gminy Czarnocin – wymiana wodomierzy oraz monitoring sieci wodociągowej;Dostawy;34971000-4 - Urządzenia bezpośredniego monitorowania;Tak;uniewaznione;;;;;;
2026-04-03;2026/BZP 00184764/01;świętokrzyskie;GMINA WODZISŁAW;Wodzisław;Poprawa gospodarki wodno-ściekowej na terenie Gminy Wodzisław: Zadanie 3: „Wdrożenie systemu monitorowania pracy oczyszczalni ścieków Lubcza i Przyłęczek”;Dostawy;42961200-2 - Przemysłowy system kontroli ruchu lub równorzędny;Tak;umowa;2;407499,00;491852,40;407499,00;SYNCHRONEO Sp. z o.o. (NIP NIP:5542996903 , Niemcz );2026-04-02
2026-04-22;2026/BZP 00210029/01;kujawsko-pomorskie;Gmina Dąbrowa Biskupia;Dąbrowa Biskupia;"„Instalacja monitoringu systemu alarmowego na dwóch stacjach uzdatniania wody i oczyszczalni ścieków.""";Dostawy;32323500-8 - Urządzenia do nadzoru wideo;Nie;umowa;3;257685,00;299894,91;257685,00;X-Comfort Mateusz Dymski (NIP 9671266161 , Bydgoszcz );2025-11-20
2026-04-29;2026/BZP 00220827/01;świętokrzyskie;Gmina Czarnocin;Czarnocin;Modernizacja sieci wodociągowej na terenie gminy Czarnocin – wymiana wodomierzy oraz monitoring sieci wodociągowej;Dostawy;38421100-3 - Wodomierze;Tak;uniewaznione;;;;;;
2026-05-07;2026/BZP 00233433/01;kujawsko-pomorskie;Gmina Złotniki Kujawskie;Złotniki Kujawskie;"Modernizacja sterowania stacji uzdatniania wody w Złotnikach Kujawskich wraz z inteligentnym monitoringiem w ramach projektu pn: ""Inteligentna sieć wodociągowa w Gminie Złotniki Kujawskie”";Roboty budowlane;45311000-0 - Roboty w zakresie okablowania oraz instalacji elektrycznych;Tak;umowa;3;167280,00;232322,40;167280,00;Rosmomis-Wawrzyniak Group Sp. z o.o., Sp.K. (NIP 6211487976 , Zduny );2026-05-07
2026-05-08;2026/BZP 00235983/01;mazowieckie;Gmina Stara Błotnica;Stara Błotnica;Poprawa gospodarki wodno-ściekowej poprzez modernizację stacji uzdatniania wody II etap oraz instalację wodomierzy zdalnego odczytu;Roboty budowlane;45000000-7 - Roboty budowlane;Tak;uniewaznione;2;7398939,07;7398939,07;;;
2026-06-15;2026/BZP 00291115/01;podkarpackie;GMINNY ZAKŁAD GOSPODARKI KOMUNALNEJ;Żyraków;Zakup i dostawa wodomierzy do wody zimnej DN20 oraz modułów radiowych do zdalnego odczytu dla GZGK Żyraków;Dostawy;38421100-3 - Wodomierze;Nie;umowa;1;158842,20;158842,20;158842,20;DIEHL METERING Sp. z o.o. (NIP 548-007-75-24 , Goleszów );2026-05-18
2026-06-16;2026/BZP 00292126/01;mazowieckie;Gmina Stara Błotnica;Stara Błotnica;Poprawa gospodarki wodno- ściekowej poprzez modernizację stacji uzdatniania wody II etap oraz instalację wodomierzy zdalnego odczytu;Roboty budowlane;45000000-7 - Roboty budowlane;Tak;uniewaznione;1;5371426,41;5371426,41;;;
2026-06-16;2026/BZP 00293204/01;mazowieckie;Miasto i Gmina Osieck;Osieck;"""Wymiana wodomierzy i instalacja punktów monitoringu przepływu wody” w ramach realizacji zadania „Modernizacja sieci wodociągowej i SUW na terenie Gminy Osieck”";Usługi;38421100-3 - Wodomierze;Tak;umowa;1;803497,50;803497,50;803497,50;"Metering Anna Moder Sp. z o.o (NIP 8311646702 , Buczek ); Metering Anna Moder Sp. z o.o. (NIP 8311646702 , Buczek )";2026-06-16
2026-08-04;2026/BZP 00375560/01;warmińsko-mazurskie;Przedsiębiorstwo Gospodarki Komunalnej i Mieszkaniowej Sp. z o.o.;Działdowo;ZAPROJEKTOWANIE I WYKONANIE ROBÓT BUDOWLANYCH W RAMACH PROJEKTU PN.: MODERNIZACJA STACJI UZDATNIANIA WODY WRAZ Z WDROŻENIEM SYSTEMU MONITORINGU STRAT WODY WODOCIĄGOWEJ W DZIAŁDOWIE;Roboty budowlane;45300000-0 - Roboty instalacyjne w budynkach;Tak;umowa;6;8415959,91;12888678,00;8415959,91;H2Optim Sp. z o.o. Sp. K. (NIP 9721061775 , Baranowo );2026-07-16
2026-08-05;2026/BZP 00378192/01;mazowieckie;GMINA STARA KORNICA;Stara Kornica;Wymiana wodomierzy i hydrantów oraz modernizacja stacji uzdatniania wody w aglomeracji Stara Kornica - część II dostawa i montaż wodomierzy wraz z systemem zdalnego odczytu;Dostawy;38421100-3 - Wodomierze;Tak;umowa;1;275458,50;275458,50;275458,50;PHU PAGOS Adam Karpiuk (NIP 5371405171 , Dubów );2026-08-04
2026-08-27;2026/BZP 00409514/01;mazowieckie;Gmina Stara Błotnica;Stara Błotnica;Poprawa gospodarki wodno-ściekowej poprzez modernizację stacji uzdatniania wody II etap oraz instalację wodomierzy zdalnego odczytu;Roboty budowlane;45000000-7 - Roboty budowlane;Tak;umowa;2;4670326,41;8330000,00;4670326,41;"P.P.U.""WIMAR"" WALDEMAR MARKOWSKI (NIP 7981318603 , STARY KOBYLNIK 19 )";2026-08-25
2026-08-31;2026/BZP 00415140/01;pomorskie;ZAKŁAD GOSPODARKI KOMUNALNEJ W JEZIERZYCACH SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Jezierzyce;"„Dostawa wraz z wdrożeniem sprzętu w zakresie monitorowania sieci OT w Zakładzie Gospodarki Komunalnej w Jezierzycach Sp. z o.o. w ramach grantu ""Cyberbezpieczne Wodociągi.”";Dostawy;32420000-3 - Urządzenia sieciowe;Tak;uniewaznione;1;;;;;
