data_ogloszenia;nr_bzp;wojewodztwo;zamawiajacy;miejscowosc;przedmiot;rodzaj_zamowienia;cpv_glowny;wspolfinansowanie_ue;wynik;liczba_ofert;cena_najnizsza_pln;cena_najwyzsza_pln;cena_wybrana_pln;wykonawca_lub_wykonawcy;data_umowy
2024-06-05;2024/BZP 00351894/01;małopolskie;Gmina Tomice;Tomice;System monitoringu sieci wodociągowej ze zdalnym odczytem urządzeń pomiarowych w miejscowościach Woźniki, Witanowice i Radocza – dostawa urządzeń pomiarowo – odczytowych wraz z oprogramowaniem;Dostawy;38421110-6 - Przepływomierze;Nie;umowa;1;295241,95;295241,95;295241,95;SENSUS Polska Sp. z o. o (NIP 952-199-35-28 , Toruń );2024-05-20
2024-06-25;2024/BZP 00382329/01;małopolskie;Gmina Tomice;Tomice;System monitoringu sieci wodociągowej ze zdalnym odczytem urządzeń pomiarowych w miejscowościach Woźniki, Witanowice, i Radocza – przebudowa sieci wodociągowej;Roboty budowlane;45232150-8 - Roboty w zakresie rurociągów do przesyłu wody;Nie;uniewaznione;3;118703,61;295200,00;;;
2024-07-09;2024/BZP 00404081/01;mazowieckie;GMINA MIRÓW;Mirów Stary;Dostawa i montaż punktów pomiarowych oraz wdrożenie systemów zarządzania siecią wodociągowo- kanalizacyjną (SCADA) na terenie Gminy Mirów;Usługi;72263000-6 - Usługi wdrażania oprogramowania;Tak;umowa;3;608493,30;1313640;608493,30;Biuro Inżynierskie Wodnik Kamil Świętochowski (NIP 9661988674 , Białystok );2024-06-10
2024-07-24;2024/BZP 00428976/01;wielkopolskie;Gmina Wągrowiec;Wągrowiec;Przebudowa stacji uzdatniania wody w miejscowości Łekno wraz z monitoringiem produkcji i zużycia wody;Roboty budowlane;45252126-7 - Roboty budowlane w zakresie zakładów uzdatniania wody pitnej;Tak;umowa;3;4397250,00;4548540,00;4548540,00;METROLOG Sp. z o.o. (NIP 7631861838 , Czarnków );2024-07-05
2024-11-07;2024/BZP 00584946/01;małopolskie;Gmina Jordanów;Jordanów;Dostawa i wdrożenie zdalnego odczytu wodomierzy;Dostawy;38421100-3 - Wodomierze;Nie;uniewaznione;1;335932,06;335932,06;;;
2024-11-08;2024/BZP 00585795/01;łódzkie;GRUPOWA OCZYSZCZALNIA ŚCIEKÓW SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Kutno;SERWIS SYSTEMU SCADA I STEROWNIKÓW PLC ORAZ DOSTAWA I URUCHOMIENIE NOWYCH URZĄDZEŃ STERUJĄCYCH W GRUPOWEJ OCZYSZCZALNI ŚCIEKÓW SP. Z O.O. W KUTNIE;Usługi;51900000-1 - Usługi instalowania systemów sterowania i kontroli;Nie;umowa;1;1168008;1168008;1168008;VIX AUTOMATION SP. Z O.O. (NIP REGON 240214146 , Katowice );2024-10-14
2025-02-05;2025/BZP 00090705/01;dolnośląskie;Przedsiębiorstwo Gospodarki Miejskiej Sp.z o.o.;Polkowice;„ Budowa systemu automatyki i sterowania Stacji Uzdatniania Wody i ujęciami wody w Suchej Górnej – w formule zaprojektuj i wybuduj.”;Roboty budowlane;45000000-7 - Roboty budowlane;Tak;uniewaznione;3;3418047,00;4638330,00;;;
2025-02-27;2025/BZP 00123758/01;podkarpackie;Gmina Jasienica Rosielna;Jasienica Rosielna;„Budowa sieci wodociągowej w miejscowości Orzechówka, opomiarowanie wodociągu w Bliznem i Jasienicy Rosielnej oraz doposażenie Stacji Uzdatniania Wody w Jasienicy Rosielnej oraz Blizne 1 i Blizne 2”;Roboty budowlane;45000000-7 - Roboty budowlane;Tak;umowa;15;13803956,29;38896082,33;13803956,29;Zakład instalacyjno-Budowlany Edward Kwiek (NIP 8191004590 , Czudec );2025-02-27
2025-03-17;2025/BZP 00148146/01;małopolskie;Gmina Jordanów;Jordanów;Dostawa i wdrożenie zdalnego odczytu wodomierzy;Dostawy;38421100-3 - Wodomierze;Nie;umowa;2;323954,94;323954,94;323954,94;Orange Polska S.A. (NIP 5260250995 , Warszawa );2025-03-13
2025-05-16;2025/BZP 00235031/01;małopolskie;Miasto i Gmina Piwniczna-Zdrój;Piwniczna-Zdrój;Modernizacja odcinka sieci wodociągowej w miejscowości Łomnica-Zdrój wraz z rozbudową systemu sterowania i monitorowania infrastruktury wodociągowej oraz realizacją zadań komplementarnych.;Roboty budowlane;45000000-7 - Roboty budowlane;Tak;umowa;5;1888050,00;2909332,97;1888050,00;Czesław Wróbel, prowadzący działalność gospodarczą pod firmą: MEN-GAZ Przedsiębiorstwo Budownictwa Ogólnego oraz Sieci i Instalacji Budowlanych Czesław Wróbel (NIP 737-100-17-24 , Męcina );2025-05-06
2025-05-21;2025/BZP 00240013/01;wielkopolskie;Gmina Kłecko;Kłecko;Dostawa szaf sterowniczych z podłączeniem na SUW Kłecko wraz z wpięciem do systemu wizualizacji SCADA i monitoringu GPRS;Dostawy;31682210-5 - Aparatura i sprzęt sterujący;Nie;uniewaznione;;;;;;
2025-05-21;2025/BZP 00240360/01;dolnośląskie;Przedsiębiorstwo Gospodarki Miejskiej Sp.z o.o.;Polkowice;„ Budowa systemu automatyki i sterowania Stacji Uzdatniania Wody i ujęciami wody w Suchej Górnej – w formule zaprojektuj i wybuduj.”;Roboty budowlane;45000000-7 - Roboty budowlane;Tak;umowa;4;2201700,00;3418047,00;2201700,00;Biuro Inżynierskie Automatyki Przemysłowej Sp. z o.o. (NIP 8940006528 , Wrocław );2025-05-06
